68820;Transitar com o veículo excedendo a CMT em até 600 kg;Lei Nº 9.503/97;2013-01-01 00:00:00.0;;4;P;P;Volvo/NL12 360, Bitren, Graneleiro, tracionando os semirreboques xxx-3333 e yyy-3344, comprimento 19,20mts. Classificação I-64, transportando 45.000 kg do produto xxxx, NF yyyyyy. Amparo: Res 210/06, 211/06, 258/07, 289/08 e 290/08 do Contran. Responsabilidade solidaria com o embarcador.;231 X
68900;Transitar com o veículo excedendo a CMT entre 601 e 1.000 kg;Lei Nº 9.503/97;2013-01-01 00:00:00.0;;5;P;P;Volvo/NL12 360, Bitren, Graneleiro, tracionando os semirreboques xxx-3333 e yyy-3344, comprimento 19,20mts. Classificação I-64, transportando 45.000 kg do produto xxxx, NF yyyyyy. Amparo: Res 210/06, 211/06, 258/07, 289/08 e 290/08 do Contran. Responsabilidade solidaria com o embarcador.;231 X
69040;Transitar com o veículo excedendo a CMT acima de 1.000 kg;Lei Nº 9.503/97;2013-01-01 00:00:00.0;;7;P;P;Volvo/NL12 360, Bitren, Graneleiro, tracionando os semirreboques xxx-3333 e yyy-3344, comprimento 19,20mts. Classificação I-64, transportando 45.000 kg do produto xxxx, NF yyyyyy. Amparo: Res 210/06, 211/06, 258/07, 289/08 e 290/08 do Contran. Responsabilidade solidaria com o embarcador.;231 X
69630;Trans c/veíc desac c/especificação/falta de inscr/simbologia necessária identif;Lei Nº 9.503/97;2013-01-01 00:00:00.0;;5; ;P;Veículo x, cor y, pertencente ao Ministério Público Federal, sem qualquer indicação do órgão nas portas, em desacordo com o art. 120, §1o do CTB. CRLV no x, retido conforme RRD no x.;237
70562;Conduzir ciclo fazendo malabarismo ou equilibrando-se em uma roda;Lei Nº 9.503/97;2013-01-01 00:00:00.0;;4; ;C;<null>;244 III c/c § 1º
70800;Conduzir motocicleta, motoneta e ciclomotor rebocando outro veículo;Lei Nº 9.503/97;2013-01-01 00:00:00.0;;5; ;C;<null>;244 VI
70991;Conduzir motocicleta/motoneta/ciclomotor sem segurar o guidom com ambas as mãos;Lei Nº 9.503/97;2013-01-01 00:00:00.0;;5; ;C;Motocicleta x, cor y. Condutor segurando o guidão somente com a mão direita. Levando um pacote debaixo do braço esquerdo.;244 VII
71021;Conduzir motocicleta, motoneta e ciclomotor transportando carga incompatível;Lei Nº 9.503/97;2013-01-01 00:00:00.0;;5; ;C;Motocicleta x, cor y, Transportando fogão sobre o bagageiro. Regularizado.;244 VIII
71023;Conduzir motoc/moton/ transportando carga em desacordo c/ § 2º do Art 139-A CTB;Lei Nº 9.503/97;2013-01-01 00:00:00.0;;5; ;C;<null>;244 VIII
71292;Conduzir ciclomotor em via de trânsito rápido;Lei Nº 9.503/97;2013-01-01 00:00:00.0;;4; ;C;<null>;244 § 2º
71293;Conduzir ciclomotor em rodovia salvo se houver acostamento ou faixa própria;Lei Nº 9.503/97;2013-01-01 00:00:00.0;;4; ;C;<null>;244 § 2º
72180;Transportar em veíc destinado transp passageiros carga excedente desac art.109;Lei Nº 9.503/97;2013-01-01 00:00:00.0;;5; ;C;<null>;248
75521;Conduzir motoc/moton/ efetuando transp remun mercadoria desac c/ art 139-A CTB;Lei Nº 9.503/97;2013-01-01 00:00:00.0;;5; ;C;<null>;244 IX
75522;Conduzir motoc/moton/ efet transp remun desac normas ativid profic mototaxistas;Lei Nº 9.503/97;2013-01-01 00:00:00.0;;5; ;C;<null>;244 IX
58196;Transitar com o veículo em marcas de canalização;Lei Nº 9.503/97;2013-01-01 00:00:00.0;;7; ;C;<null>;193
